Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
1,2023,C,Yan Gomes,35,116,419,382,44,102,20,2,10,63,1,0,21,81,0.267,0.315,0.408,0.723,93,156,9,9,0,7,1,Right,No
2,2023,1B,Trey Mancini,31,79,263,235,31,55,12,0,4,28,0,0,21,78,0.234,0.299,0.336,0.635,71,79,5,2,0,3,1,Right,No
3,2023,2B,Nico Hoerner,26,150,688,619,98,175,27,4,9,68,43,7,49,83,0.283,0.346,0.383,0.729,97,237,12,14,1,5,0,Right,No
4,2023,SS,Dansby Swanson,29,147,638,565,81,138,25,3,22,80,9,1,66,154,0.244,0.328,0.416,0.744,99,235,9,5,0,2,0,Right,No
5,2023,3B,Nick Madrigal,26,92,294,270,34,71,16,1,2,28,10,2,10,24,0.263,0.311,0.352,0.663,79,95,3,9,5,0,0,Right,No
6,2023,LF,Ian Happ,28,158,691,580,86,144,35,4,21,84,14,3,99,153,0.248,0.36,0.431,0.791,112,250,12,6,0,6,2,Right,Yes
7,2023,CF,Cody Bellinger,27,130,556,499,95,153,29,1,26,97,20,6,40,87,0.307,0.356,0.525,0.881,133,262,7,5,0,12,3,Left,No
8,2023,RF,Seiya Suzuki,28,138,583,515,75,147,31,6,20,74,6,7,59,130,0.285,0.357,0.485,0.842,124,250,8,2,0,7,3,Right,No
9,2023,DH,Christopher Morel,24,107,429,388,62,96,17,3,26,70,6,2,36,133,0.247,0.313,0.508,0.821,116,197,7,2,1,2,0,Right,No
10,2023,CF,Mike Tauchman,32,108,401,337,64,85,18,0,8,48,7,1,56,86,0.252,0.363,0.377,0.739,100,127,3,4,1,3,1,Left,No
11,2023,3B,Patrick Wisdom,31,97,302,268,43,55,8,1,23,46,4,2,30,111,0.205,0.289,0.5,0.789,107,134,4,2,1,1,0,Right,No
12,2023,CI,Jeimer Candelario,29,41,157,137,20,32,9,1,6,17,2,0,17,39,0.234,0.318,0.445,0.764,103,61,1,1,0,2,0,Right,Yes
13,2023,C,Miguel Amaya,24,53,156,131,17,28,4,0,5,18,0,0,12,40,0.214,0.329,0.359,0.688,86,47,2,11,1,1,0,Right,No
14,2023,3B,Miles Mastrobuoni,27,60,149,133,24,32,5,0,1,5,13,1,13,32,0.241,0.308,0.301,0.609,65,40,1,0,3,0,0,Left,No
15,2023,C,Tucker Barnhart,32,43,123,109,6,22,3,0,1,9,1,0,12,42,0.202,0.285,0.257,0.541,48,28,4,1,0,1,0,Left,No
16,2023,DH,Eric Hosmer,33,31,100,94,7,22,3,0,2,14,0,0,6,25,0.234,0.28,0.33,0.61,64,31,5,0,0,0,0,Left,No
17,2023,1B,Matt Mervis,25,27,99,90,8,15,2,0,3,11,0,0,8,32,0.167,0.242,0.289,0.531,43,26,1,1,0,0,0,Left,No
18,2023,1B,Jared Young,27,16,47,43,8,8,0,3,2,8,2,0,3,13,0.186,0.255,0.465,0.72,88,20,1,1,0,0,0,Left,No
19,2023,DH,Edwin Rios,29,18,34,28,3,2,1,0,1,2,0,0,5,16,0.071,0.235,0.214,0.45,23,6,0,1,0,0,0,Left,No
20,2023,OF,Nelson Velázquez,24,13,32,29,8,7,2,0,3,6,0,0,3,8,0.241,0.313,0.621,0.933,143,18,1,0,0,0,0,Right,No
21,2023,DH,Luis Torrens,27,13,22,20,1,5,1,0,0,3,0,0,1,8,0.25,0.318,0.3,0.618,68,6,0,1,0,0,0,Right,No
22,2023,CF,Pete Crow-Armstrong,21,13,19,14,3,0,0,0,0,1,2,2,3,7,0.0,0.176,0.0,0.176,-46,0,0,0,2,0,0,Left,No
23,2023,OF,Alexander Canario,23,6,17,17,1,5,1,1,1,6,0,0,0,8,0.294,0.294,0.647,0.941,143,11,0,0,0,0,0,Right,No
24,2023,P,Michael Fulmer,30,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
25,2023,P,Jeremiah Estrada,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,Yes
26,2023,P,Jameson Taillon,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
27,2023,P,Justin Steele,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
28,2023,P,Tyler Duffey,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
